message,award_title,recipient_title,nominator_title
"Dear Marcus and Oliver, Thank you for all the insights, deep thinking, and structure you brought to our Machine Learning Bootcamp pilot. I truly appreciate the countless hours you invested—often behind the scenes—to prepare and deliver it so strongly. You made everything feel effortless, even though I know how much work went into making this successful. Your compassion, determination, and commitment shaped this entire experience. Thank you for guiding us, supporting us, and bringing so much clarity and inspiration to the journey. I'm genuinely grateful for everything you delivered. And I am thrilled to see the success of this pilot and to understand what we can improve next time—this is just the beginning.","Thank You, AI Bootcamp Trainers!",AI Architect,"Director, Engineering"
"I just want to take a moment to thank you for your collaboration throughout 2025. Whether it was working together on projects, contributing to internal initiatives, or even during the many conversations and touch points we had over the year, your engagement has made a difference. It's truly a pleasure working alongside someone like you, who is always focused on improving processes, sharing ideas, and finding ways to make things better wherever possible. Your dedication and proactive approach don't go unnoticed and have contributed to our collective progress this year. As we wrap up 2025, I hope you get the chance to enjoy a well-deserved break, spending time with family and friends, and recharging for the year ahead. Wishing you a joyful Christmas and a happy, successful New Year! ✨",Wrapping Up 2025 with Gratitude,"Director, Business Analytics","Associate Manager, Sourcing"
"Clara, as we wrap up 2025, I just want to say a big thank you for all your help and teamwork this year! Your hard work and willingness to step in whenever I needed support really made a difference. You've always been quick to help and get things sorted, and I really value that. It's an absolute pleasure working with you, and I'm looking forward to continuing this in 2026!",Thank you,HX Generalist,Payroll Specialist
"I just wanted to say a big thank you for all your help with the IT issues I've been facing, and for the support and advice you've given me on my cases as well. Your willingness to step in and share your expertise makes such a difference. You're a real asset to the team and to the company. Really appreciate everything you do!",Thank you for your support and assistant!,Customer Service Technical Specialist,Customer Service Executive
"Dear Albert, It has been truly inspiring to witness your unwavering determination for education and your relentless pursuit of higher aims in life. Your ability to balance work, family, and study, while always prioritizing what matters most, sets a remarkable example for all of us. You have shown that with dedication and perseverance, it is possible to fulfill your dreams. As a valued team member, your presence will be greatly missed. However, I am excited for you as you take the next step to further your education in Australia. I wish you all the best in this new chapter and have no doubt that you will continue to inspire those around you. Congratulations and best wishes for your future endeavors!",What an achievement!,Customer Service Executive,Customer Service Executive
"As we wrap up 2025, I just want to say a big thank you for all your help and teamwork this year! Your hard work and support whenever I reached out (many many times!) really made a difference I truly appreciate everything you've done. It's been great working with you, and I'm looking forward to continuing in 2026!",Thank you for your support in 2025,"Director, HRIS",Payroll Specialist
"Hi Folks, As the year end approaches, I've been reflecting on what was a really tough year and I keep coming back to all of you and how you showed up through it all. Leadership isn't about titles. It's about the quiet consistency. The way you show up for your teams, even on the hard days. Especially on the hard days! This year threw a lot our way. And through it all, you showed up, with grace, with determination, and with an unwavering commitment to our people. I've seen you lead with empathy and integrity, even when things were unclear. Here's to the moments you celebrated others, the tough calls you made with heart, and the example you continue to set. I'm so grateful to be alongside you in this work here at TalentFirst and still believe we have the opportunity to shape something truly unique. Looking forward to 2026 and a year of positive change. If change is the only constant, it will be nice for us to drive changes that are all about growth and development for us all. You are all truly appreciated. Thank you. Daniel",Thank you for 2025.,"Director, HRIS","Senior Director, Global Talent Acquisition and Employer Branding"
"Hi team, As we look to close out the year, there is one thing I keep coming back to.... This year threw a LOT at us. We faced hard decisions. We said goodbye to people we care about. We felt the weight of change, and still, this team kept moving. Across both hiring and brand, your resilience has been something to witness. You didn't just hold the line, you kept building. When hiring slowed, you focused on the work behind the scenes: improving processes, tightening operations, setting us up for what's next. And now, as things have ramped up again and we faced a significant backlog with fewer hands, you're showing up with the same tenacity and drive. I know it hasn't been easy. But your ability to stay focused, deliver with integrity, and keep pushing forward is what makes this team what it is. Thank you for showing up, for each other, and for the business. I truly appreciate you all. Here's to an exciting 2026 as we finally get to look at our systems transformation and a future-ready org and operating model. Daniel",Thank you for 2025.,Senior Recruitment Partner,"Senior Director, Global Talent Acquisition and Employer Branding"
"Andrea, Sam & Steve: it's wonderful to be able to say for the first time we are live and relaunched running paid media fully in-house--thanks to your hard work. Let it be known that this was no simple ""flip the switch""...you grappled with new creative for Holiday Week and the Industry Summit on-demand webinar, landing page utm changes, downloading platform editors for the first time, mapping independent bid strategies, uploading fresh audience files, navigating new (and unintuitive) platform settings, and most importantly working together and finding answers yourselves. Through this process we've learned together and have a better sense of what to expect in the new wave of launches for Q1. We'll have new hire support in hand to start next year, but until then well done making this happen!",December Paid Media - Relaunched In-House!,Digital Marketing Manager,"Senior Director, Paid Media"
"I just wanted to take a minute to thank you both for partnering together for the betterment of TechCorp. I know that changes in roles and scope can be difficult but because of your dedication and professionalism, you two are making it look easy. I really appreciate the collaboration, the mutual respect, and the commitment to the event.",Partnership,Senior Events Manager,"Vice President, Events"
"Team, I want to take a moment to sincerely thank each of you for the highly insightful and immensely valuable meetings we held over the past two days. The quality of the presentations and discussions was exceptional, and it was evident that every participant brought not only deep expertise in their respective fields but also a strong commitment to excellence. The collective knowledge and dedication demonstrated during these sessions underscored the significant impact we are making on our overarching pipeline and bookings objectives. Your active participation was instrumental in shaping the conversation. By sharing diverse viewpoints and perspectives, you enriched the dialogue and helped us refine a go-to-market strategy that is both comprehensive and innovative. It is clear when comparing our quarterly team sessions that we are consistently improving, our strategies are sharper, our alignment on team structures is stronger, and our focus on key goals is more unified than ever before. Personally, I found these sessions to be an incredible learning experience. The insights you contributed not only broadened my understanding but also reinforced the importance of collaboration in driving meaningful outcomes. I am deeply grateful for the effort, preparation, and thoughtfulness that each of you invested in making these meetings so productive. Looking ahead, I am confident that the progress we have made together has paved the way for an outstanding 2026. With the momentum we have built, the clarity of our shared vision, and the strength of our collective expertise, I believe we are positioned to achieve remarkable success in the year ahead. Thank you once again for your dedication, your contributions, and your commitment to excellence. I look forward to continuing this journey with all of you and to seeing the impact we will create together. And as always, great to enjoy some time together in person outside of work!",Dream Team,Digital Marketing Manager,"Senior Director, Growth Marketing - EMEA"
"Tyler, this is long overdue, but wanted to say that you're doing a fantastic job leading the team, and I feel you're really making a positive impact. I genuinely appreciate the thoughtful, steady approach you bring to every conversation. It's clear how deeply you care about the people here, and that care shows in the way you guide and support us. I value and respect your perspective, and I'm grateful for the clarity you bring to complex moments.",Leading with Heart (and Excellent Beard Game),"Senior Director, Creative",Lead Presentation Designer
"Folks, As we look to close out 2025, it has not escaped me that both of you have been the quiet force behind so many of our biggest wins this year. From complex implementations to the day-to-day system tweaks that make everyone's lives easier, you've delivered with precision, persistence, and such positive engagement and energy. It's not just what you've done (which, let's be honest, is a lot). It's how you've done it, with collaboration, care, and a deep understanding of how the right systems can empower people to do their best work. Thank you for your partnership, your problem-solving superpowers, and your commitment to moving us forward, not just faster, but smarter. You are both truly appreciated. Thank you, Daniel",Thank you for 2025.,Senior HRIS Analyst,"Senior Director, Global Talent Acquisition and Employer Branding"
"Thank you for all your help this year! I truly appreciate your support, from customers specific billing information to helping with the contract summary tracker mishaps, or the minimum commitment file! I am very lucky to have you as a team member and look forward to 2026!",Stellar Supporter!,Billing Analyst,Billing Specialist
"As I begin a new chapter in my TalentFirst journey, I wanted to send a huge thank you to the sourcing and category gift card teams for being the dream team to work with over the past almost 6 years. As a combined team we've launched in excess of 1,550 gift cards globally during that time. We've added so many new and exciting brands to our portfolio, while also expanding into markets that we've never worked before as our Client base grows more diverse. Who knew 6 years ago as we were onboarding in US, Canada, UK, Ireland, India and China that we would have expanded and launched assortment in markets like Algeria, Mauritius, Azerbaijan, Peru, Kenya and even Mongolia! The passion and creativity that this team has is second to none. You are constantly curious about how to do things better, you challenge the status quo of processes and ways of working, with an end result of providing an incredible end user gift card experience. Jessica, my OG gift card buddy! Jennifer/Gerald/Fiona - thank you for being super Category management partners!! Nancy/Lucas/Amanda/Laura/Jacob/Keith - It has been an absolute pleasure to lead this team. You have been a truly unique team to work with (in the best way!!), I've learned a huge amount from each of you as a leader and a human! I look forward to seeing you all continue to smash it in your careers!! Thank you all!",Gift Cards for Life!,Sourcing Specialist,"Director, Global Sourcing"
"Lisa, I just want to take a moment to thank you for presenting at our last two all-hands meetings. You did a fantastic job, and your effort really stood out. We're so fortunate to have you on the team. Your constant drive to improve processes and find smarter ways of working makes a real difference for all of us. Your contributions not only strengthen our results but also inspire the team to think bigger and better. I truly appreciate the energy and dedication you bring every day. Thanks again for everything you do!","Shoutout to You, Luisa!",Senior Technical Services Specialist,"Associate Manager, Technical Services"
"Well done Sam for researching and documenting the process to consolidate database schemas. This will prove to be invaluable when engineering teams seek assistance with migrating data. It's great that we have got ahead of it so we can give accurate and informed advice about the process. Also, well done for showing a willingness to take on a brand new process and becoming an expert in it, which is fantastic to have within the team. Thank you and well done.",Postgres schema migrations,Data Infrastructure Engineer III,"Associate Manager, Infrastructure"
"Paula and Whitney, As we finish up 2025, I just want to say a big thank you to each of you for all your help and teamwork this year! Your hard work and willingness to step in whenever I needed support really made a difference. We've achieved a lot together, and I truly appreciate everything you've done. It's been great working with you, and I'm looking forward to continuing this in 2026!",Thank you for 2025,"Manager, Payroll and Incentives",Payroll Specialist
"Thank you all for stepping in last minute to look after my partners while I took some days off, I really appreciate the help!",Thank you!,Merchandise Coordinator,Merchandise Specialist
"Just wanted to take a moment to thank you Michael for all your help over the past few weeks with the merch reports. With all the changes to the reports going on, you always have patience with showing me these changes until I get the hang of them. Thank you!",Patience!,Merchandise Coordinator,Supply Chain Associate
"Marcus, I just wanted to take a moment to thank you for your amazing support throughout 2025, from obtaining Transaction Reference Numbers to help customers, to follow up with refunds, and many other queries, and for always be ready and happy to help. All your hard work is appreciated.",2025 Support,Senior Customer Service Executive,Senior Payment Services and Security Specialist
"Carlos, I wanted to recognize the effort and care you put into the cases you action. Your questions are a reflection of the care you take in helping our customers. Keep asking questions, keep up the great work!",Work in Progress,Customer Service Executive,Senior Customer Service Executive
"Thank you team for the energy you brought to yesterday's AI focused session. I really appreciate how engaged everyone was throughout the session. Thank you for actively listening, asking thoughtful questions and giving us plenty of food for thought. Your openness helps us build clarity together and shape how our roles evolve. I am super proud of the work we are doing and grateful for the way you showed up 🙌",The Future of Product Design is Bright ✨,Principal Product Designer,"Director, Product Design"
"Sofia thank you for your help in facilitating the conversation with Ryan and getting the early release project into production. I wasn't sure who to reach out to but you put me in contact with the right team and helped get the launch completed on time. I really appreciate your swift action, thank you!!!",Early Release Support,Principal Product Designer,Senior Product Designer
"Just wanted to thank you for all your help over the past few days with the support requests. These involved CloudPlatform and email system related support requests, and I wouldn't have been able to resolve them without your support and expertise.",Respect For Team Work,End User Services Engineer III,Senior Systems Engineer
"Alex, thank you for managing project management system access so reliably over the months, granting the right permissions, guiding when access should be removed, and keeping everything running smoothly. Your careful attention ensures the right people are in the right place at the right time, making the workflow feel effortless.",Project Management System Access Support,Senior Systems Engineer,Customer Service Technical Specialist
"Roberto this is a few weeks overdue, but wanted to make sure I said THANK YOU for your help with a time sensitive data model deploy prior to Thanksgiving. This enabled us to make meaningful progress on a client deliverable in a very short amount of time and I am truly grateful for your partnership. Plus now you have an IOU to cash in the future ;)",Off Hours Support,"Director, Business Analytics","Director, Business Analytics"
Congratulations to you 3 for getting a score of 100% for the Customer Service November Quiz!! You have shown impressive commitment and excellence — keep up the great work!,CS November Quiz,Customer Service Executive,"Team Lead, Customer Service Operations"
"I wanted to take a moment to recognize you three for your support this week. While I was working on some admin tasks, I asked if you could action a few important cases and you immediately stepped in and handled them without any hesitation. Your quick response, positive attitude, and readiness to help truly made a difference. Thank you for being dependable and for always supporting the team. I genuinely appreciate it.",Appreciation for Your Support This Week,Customer Service Executive,Customer Service Executive
"I would like to express my sincere thanks for the help and support you gave me when my business management system wasn't working on Tuesday. Even though you were very busy, you still took the time to assist me, and I truly appreciate it. Thank you so much for all your effort and dedication with previous computer issues as well.",Thank you,Helpdesk Engineer III,Accounts Payable Specialist
"Thanks a million for your help this morning! I really appreciate it. I was locked out of my account and had to drop over, and you sorted the issue super fast. You're a lifesaver! Thanks again Sam",Super fast support,Helpdesk Engineer III,Senior Software Engineer
Thanks for helping me with my mobile device support ticket.,Support ticket help,Helpdesk Engineer III,Senior Accessibility Engineer
"I just wanted to take a moment to thank you all for helping me better understand Cloud Security Groups. Your clear explanations and patience made a big difference, and I really appreciate the time you took to guide me through the details. Thanks again for your support",Cloud Security Group Help,Helpdesk Engineer III,End User Services Engineer II
Thank you for running through the information housed in our CRM system. It was really helpful for my understanding to know where our knowledge sources come from. You fielded all my questions and it was so nice to catch up with you.,All things CRM,Launch Success Manager,Senior Knowledge Management Specialist
"Emma, Lisa, Rachel, Morgan and Zoe…. I just wanted to take a few moments to highlight how impressed I am that ALL of you have been stepping up your game on my accounts over the last few months. I have seen progress from each of you and over the last few weeks have been especially impressive! Each one of you has either been leading on a few customers calls due to me having other meeting conflicts or simply using your initiative to jump on a call to get to listen to the client on their issue and reducing not only emails but getting to be that little more 'human' in our approach of building stronger relationships. Examples of this leadership has been fantastic, from Morgan connecting with David on program changes at TechCorp, Lisa working closely with the GlobalFunds team on the soon to be launched 2026 program launch, Rachel keeping the likes of PropertyGroup engaged with your super-efficient updates and leading on the latest status call at StateBank to Emma helping out with Kevin's fraud investigation & system update and finally Zoe doing an excellent job with BuildCorp on them understanding the comms they have setup for their employees to MedTech's latest status call where you lead the topic of program configuration for their suggested new automated birthday award program amongst some other possibilities for 2026. Each one of you has grown so much in 2025 and I am more than thrilled at how stronger you all are in your roles. Keep up the great work!",Leading the Charge!,Customer Success Specialist,Senior Customer Success Manager
"Customer Excellence Council, thank you all for your efforts over the past 2 months to review and comment on every page in the Product Knowledge Base. This was a huge task and it will pay off in dividends as we continue to invest in making the PKB the single source of Product truth for TechSolutions. With over 200 Product content pages in the PKB this was a huge task. You all brought a unique perspective to reviewing and commenting on the pages. Love what you brought to the table and how it will help the company as a whole!",Thank for you review of the PKB,Customer Success Specialist,Senior Program Manager
"Jake, thank you for all of your hard work in coordinating FinancialGroup's renewal (and updated contract language)! We started this conversation with FinancialGroup a year ago (has it been that long!?), but you've been there every step of the way to ensure we meet their needs. You did an excellent job of scheduling calls with the right folks at FinancialGroup to make sure they clarified their expectations, worked closely with our Legal/Finance teams to update red-lined documents and provided timely status updates to the FG team. This was an excellent example of the way you support your pod and lead by example. You showed relentless customer centricity during this process and the results have paid off!",Bringing FinancialGroup Over the Finish Line!,"Senior Manager, Customer Success",Senior Customer Success Manager
Thanks for all your work planning and roadmapping for Q1! And for coordinating not only with engineering but People Analytics and within the Natural Language Processing team as well. You're excellent at juggling all of our priorities and collaborators! Thanks to you we have a smoother path ahead for the coming year.,Roadmapping and planning,"Senior Manager, Linguistics and WHiQ Operations","Senior Manager, Machine Learning Engineering"
"I wanted to specially thank the Customer Excellence Council volunteers who took on specific presentation sections of today's Q4 CE Council All-Hands meeting (some at the very last minute!) Tyler, you cast a powerful vision for how you want to see this group collaborate and succeed in 2026, even going above and beyond to answer some ad-hoc questions that came up. Jessica, Hannah, and Chris, you did a fantastic job providing us with a 2025 Product highlight, high-level H1 '26 roadmap, and walkthrough of the org changes directly impacting our ways of working. Marcus, you came with all the receipts! The group responded well to your data-driven approach to not only the PKB review conversation, but also roadmap planning and prioritization. Jordan, thank you for giving us some upcoming product marketing questions to think about and action items, as well as weighing in with Ashley on enablement efforts more broadly. Ashley, your enablement calendar that you shared with us was so exciting, we can't wait to see more! You also came at the group from a genuine place of curiosity, asking thoughtful and philosophical questions to help inform some upcoming work. Last but CERTAINLY not least, Taylor, thank you so much for raising your hand and letting me know you'd be interested in taking on part of the CE-side presentation responsibility! You gave the team a super overview of some of the critical work this group undertook over the last few weeks, and flowed with Marcus's content seamlessly!",Power Presenters!,"Director, Product Strategy",Senior Launch Success Manager
"I wanted to thank you both Nathan and Arjun, for al the great collaboration happening this year. There's been a whirlwind of projects to tackle but you have made it all very manageable and exciting to work on. I believe Intelligence Platform and AI Assistant have a bright future ahead and I'm looking forward to what the New Year will bring. Thanks again for everything and wishing you a lovely Christmas with your families! 🎄",Fo your collaboration and guidance,"Senior Director, Product Management","Manager, Product Design"
"Amy, Citi has a lot of requests that come in to our team around defining our model development processes and classifications. You have taken on this task every time and asked all the right questions to move the client forward. Thank you for stepping in and working on this 16 page document to help them feel more confident in our AI technology.",Citi Model Development Documentation,"Senior Manager, Machine Learning Engineering","Senior Manager, Linguistics and WHiQ Operations"
"I wanted to take a moment to thank you Gigio for such an amazing guidance you've given me as a manager. You're always very thoughtful on requests, and you share deep insights in relation to the user experience and how to best tackle design problems. I am very fortunate to have you as a manager and I'm looking forward to continue collaborating for next year. Thanks again for everything and happy Christmas! 🎄","Steady guidance, always","Senior Manager, Product Design","Manager, Product Design"
"Hi Jesse, thank you for your thoughtful leadership over the past five years, and for cultivating such as a collaborative, encouraging and inspiring environment across the WHiQ organization. I'm deeply grateful for the opportunity to work at Workhuman and for the privilege of being part of this remarkable team under your leadership. I've learned so much from the work we've done and from the talented people you've brought together, and this has truly been one of the most rewarding chapters of my career. Thank you for everything you've made possible for the team and for me. I wish you and the team all the best going forward. I'll look back on this time very fondly.",Grateful for Your Leadership,"Vice President, WHiQ",Senior Computational Linguist
"Hi Amy, thank you so much for your incredible support and leadership over these past years. You've given me so many meaningful opportunities to learn and grow and consistently trusted me with projects that were both challenging and deeply interesting. You always gave me the space to explore different approaches while offering thoughtful guidance when I needed it. This time with you has shaped my professional growth in ways I will always value. I'm especially grateful for the way you've always advocated for our team and for each and every team member. I've always felt seen, supported, and appreciated on this team, and that has meant a lot to me. Working with you has truly been one of the best experiences of my career, and I'm deeply grateful for everything you've done for me and for our team. I will always appreciate your kindness and support.",Grateful for Your Support and Leadership,"Senior Manager, Machine Learning Engineering",Senior Computational Linguist
"Hi Essra, thank you so much for your thoughtful leadership and for the kind support you've given me personally over these past years. You balance so many responsibilities, keep things organized and moving forward, and still bring calm, clarity, care, and humor to the work. I've always felt welcomed and included in the Ling group, and I've never had to wonder whether I had your full support. The weekly linguistics meetings have been a real highlight for me – they helped me feel grounded and connected. I am grateful for the moments you stepped in to help me and for checking in on me, whether it was work- or family-related. Those gestures meant more than I can say, and they are a big part of why this has felt like such a supportive and human place to work. I feel incredibly lucky to have worked with you and to have had the chance to learn from your example. Thank you for your kindness and for everything you've done for the team and for me. I will be cheering on all the great work you and the team continue to do.",Grateful for Your Leadership and Support,"Senior Manager, Linguistics and WHiQ Operations",Senior Computational Linguist
"Getting registration up and running for Activate calls for a lot of hands, a lot of brains and lots of mini tasks that people don't always see. Thank you all for all the creative designs, the tweaks, the copy, the testing, and the re-testing this week. Appreciate the urgency to turn things around so we can launch immediately!",Activating Activate,Senior Production Artist,Events Manager
Happy Birthday Bhavani! Hope you have a great day and enjoy all the celebrations. Wishing you all the best for the year ahead.,Happy Birthday Bhavani!,Customer Service Executive,"Team Leader, Customer Service Operations"
"Thanks so much for reviewing the landmarks patterns documentation so quickly!  You added examples, reviewed text and even suggested new sections or added corrections to the information on this page.  Thanks so much for helping me achieve my Aim!!!",Thx for ur help reviewing Landmarks documentation,Senior Accessibility Engineer,Principal Product Designer
Shane thanks your help last week with testing Fastclose user access. We are implementing new access controls and you went out of your way to help me and close off my test case. This ensured I could keep real momentum behind the project and give management real assurance over the governance of Fastclose.,Testing testing 123,Accounts Payable Specialist,"Senior Manager, Financial Accounting"
"Maria, thanks for all your help recently with funding requests. At the busiest time of the year it is essential to have all accounts well funded to support the supply chain. As always you were ready with little notice to set up multiple payments. I really appreciate giving your time to support the FA team when you are already extremely busy with so many Q4 demands.",Always there,Accounts Payable Specialist,"Senior Manager, Financial Accounting"
"Well done, John! Your guidance and oversight during the recent OEM upgrade were instrumental in its successful delivery. This achievement provides greater visibility and monitoring of our critical Oracle databases while enabling several new and exciting features.  On top of that, you led the team through another peak period—closely monitoring performance, triaging issues as they arose, and provisioning additional resources in time to meet demand. Thank you for your diligence and outstanding leadership. Your efforts have made a significant impact!",Seeing us through,"Associate Manager, Infrastructure","Senior Manager, Cloud Infrastructure"
"As we bring another busy and eventful year to a close, I just want to recognise this very special team that continues to deliver an exceptional level of service leading core and nuanced HX initiatives that have had a significant impact on all the people and the business areas each of you support. It’s been a marathon year, filled with ups and downs, yet throughout it all you’ve shown remarkable resilience, diligence, and professionalism in navigating challenges and increased workloads. Each of you brings a unique blend of skills and personalities that has helped us push through many difficult moments. I’m incredibly proud of the culture we’ve built—one defined by teamwork, humility, accountability, and a genuine commitment to supporting one another. Thank you for continually challenging yourselves and others in driving impactful outcomes for our stakeholders. The work you all do does not go unnoticed. Thank you for all that you do in making us better.",The A Team,HX Generalist,"Senior Director, HX Strategy Partners - EMEA"
"Hey Gabriel,  Thanks so much for taking the time to catch up with me recently—I know things are busy, so I really appreciate it. Your support and guidance were really helpful, and it was great to reconnect. Hopefully, we’ll get another chance to catch up again soon!",Thanks!,Customer Success Associate,"Team Leader, Customer Service Operations"
"As I look back on 2025, I’m filled with pride and maybe just a tiny bit of “how on earth did we do all that?”…at what this team has achieved. Through aggressive market conditions, pricing battles, rebate negotiations, media deals,  and more spreadsheets than any human should ever see, you’ve shown up every day living our values: helping, leaning in, and delivering with impact!    And that’s just the negotiating side of the madness. Add in launching new gift cards, & merch suppliers, satisfying our clients’ never-ending appetite for “just one more product,” and expanding into tough regions that required patience, resilience, and enough energy to power a small city… and you still kept going.    The results speak for themselves, but the real win is the team behind them. You make even the toughest days easier, the big wins brighter, and coming into work something I genuinely enjoy. Thank-you !",2025 Comes to an end,E-Commerce Coordinator,"VP, Global Category Management"
"Thanks Graham for covering the on call for our Winter Celebration, not only did you do so voluntarily when alerts were received during the event you immediately responded. This prompt response ensured that we dealt with them promptly and before any impact to our services, applications and most importantly our clients. Well done and enjoy the award.",Winter Celebration On Call Cover,Cloud Infrastructure Engineer III,"Senior Manager, Cloud Infrastructure"
"I wanted to take a moment to thank everyone who partnered with us throughout the year. 💼  This has been a year of many adjustments, especially with our WIP onboarding process. We’ve worked on onboarding many suppliers and joined hundreds of calls, refining our approach along the way. I appreciate the support and flexibility shown during these changes, which helped keep the process moving.  Thanks to these collective efforts — across different teams and touchpoints — we’ve made clear improvements in how we manage our onboarding workflow. 🔄  Thank you for your collaboration this year. I truly appreciate the time, responses, and coordination that helped us navigate each change. As we head into the new year, I’m looking forward to continuing to refine our processes and build on what we’ve achieved. 🌱  Thank you all for your support. 🤝",Reflecting on Our Progress This Year,Demand Planner,"Associate Manager, Sourcing"
"Thank you, Pratheek, for your outstanding support in quickly joining multiple calls to diagnose and resolve the RI Next Gen report rendering issue. Your sense of urgency enabled the ATS PM to confidently inform stakeholders on how to use the report by 12/3. I also appreciate the time you took to explain Next Gen and the console errors—it was incredibly helpful. Your swift action and willingness to share knowledge made a significant impact, and I truly value your dedication and responsiveness.",Next Gen Guru,Senior Software Engineer,Customer Success Manager
"Congratulations!!! What an incredible way to end our merchandise launches for the year, by launching with a brand new category on our store!!  Thank you to this incredible group for your resilience and determination to get Echo Valley Food products launched on store this side of Christmas.  This is only phase 1 of the planned food category rollout, but you were able to think outside the box on this one, and get it across the line earlier than expected. I look forward to seeing even more launches in this space starting in Q1 2026...  Thanks again!!",New Category: Food/Merchandise Mix on Store,Senior Tax Accountant,"Manager, Partner Management"
"December has begun, and as the year draws to a close, it brings back many memories from the past months. I would like to express my sincere thanks for all your effort and dedication. Your professional support with our TAX queries went above every expectation. Your kindness and professionalism truly stand out and are more than worthy of recognition. Wishing you a Merry Christmas and every success in 2026",Thank you,Senior Tax Accountant,Accounts Payable Specialist
"Anne-Marie, I wanted to take a moment to recognize you for the incredible support and partnership you've provided as we've been navigating accessibility requirements for our enterprise clients like Microsoft and Fidelity. When I first started diving into this work, I had no idea just how complex accessibility compliance really is: the layers of WCAG standards, the nuances of different assistive technologies, the unique implementation challenges each enterprise brings. You've been absolutely exemplary in helping me understand all of this, and honestly, the knowledge I've gained through working with you has been transformative. What I appreciate most is how proactive you are. You don't just answer my questions; you anticipate what I'll need to know, share context before I even realize I need it, and make sure I truly understand the ""why"" behind the requirements. :)  Even though we haven't completed this journey yet, I already feel so much more confident in how I approach accessibility considerations in our product development. That's entirely because of your guidance and the way you make collaboration not just productive, but truly enjoyable. Thank you for being such a wonderful partner in this. I'm grateful for everything you've taught me and excited to continue learning from you as we move forward together!",Best team player ever!,Principal Software Engineer,Senior Technical Project Manager
"I want to take a moment to share just how deeply grateful I am for the tremendous effort you each put into making our recent Bloomberg feature a reality.  What you may not know is that this result was over a year in the making. Jo was one of the first journalists I pitched when I joined Workhuman in April 2024. So when she reached out asking whether we had customers rewarding employees who experiment with AI, I knew we had one shot to deliver.  Erika, from the second I reached out, you were all over it—identifying paths forward, connecting the dots and opening the right doors. Your support, customer knowledge and constant check-ins were critical to securing the “yes” from Sanofi.  Dave, I’m so appreciative of how quickly you mobilized, reaching out to multiple accounts and pursuing every possible avenue. Even though those leads didn't materialize for this story, your willingness to jump in without hesitation truly embodied the teamwork that made this win possible.  Meghan and Sophia, your strategic insights and transparency not only helped us zero in on Sanofi as the right fit, but ensured we approached them the right way. Thank you for hearing me out, clearing the runway and co-signing this initiative.  Lynette, your persistence in securing the final approval was nothing short of heroic. Weeks of strategic and timely follow-ups resulted in full approval from a massive global enterprise—and a quote that celebrates Workhuman’s role in one of the world’s most influential global business publications. It reflects your sound judgment and the trust you’ve built with our customers.  Overall, this was a true testament to our values—Respect for Customers and Respect for Teamwork—and a powerful reminder of what we can accomplish when we operate with clarity, trust and a shared purpose.",The Bloomberg Braintrust – Thank You!,Strategic Client Director,Media Relations Manager
"I wanted to take a moment to recognize you for explaining how the WorkCircle permissions layout differ between the mobile application and the website. I was a bit confused about it, and you clarified it for me so clearly.  I truly appreciate your support and help. Thank you once again!",Thank you for your clear explaination.,Senior Customer Service Executive,Customer Service Executive
"Deepak, Thank you for your support at the weekend from working on Amazon cases or clearing warnings, you are always happy to help and your support is appreciated.",Thank you!,Customer Service Executive,Senior Customer Service Executive
"Anne begrudgingly sending gratitude your way for your stellar performance thus far in shepherding Workhuman Live promo. Your relentless attention to detail, airtight briefs, and on-the-fly data analysis has supported the work immensely. Sometimes you comment “i dont like this” on my copy, which stings, but I know its coming from a good place. I think. Wait, is it?",Annecredible,Event Marketing Director,Senior Copywriting Manager
"Happy Birthday, Adrian! I hope you have a relaxing day planned with Fiona and Olive. Whether you're heading out for a sail or just taking it easy, I hope it’s a great one.🥳🥳","Happy Birthday, Adrian!",Senior Customer Success Manager,"Manager, Customer Success"
"Hi Team, Huge congratulations to everyone for achieving 100% attendance for two months in a row! This is such an important part of our role within the wider team, and your commitment really makes a difference. We’re currently sitting in 2nd place overall for the year, which is a fantastic achievement—but let’s keep the momentum going! If we can make it three-in-a-row with December, there’s a real chance we could come out on top. Well done again, and thank you for your dedication and teamwork. Let’s finish the year strong!",Attendance Achievement!,Customer Service Executive,"Team Leader, Customer Service Operations"
"In 2025, this has been clear through your support  - supporting me through my role change and workload, trusting my abilities, giving me autonomy, and showing understanding during the summer when I faced unexpected family challenge.  Your leadership has inspired so many - driving the workplacement initiative, leading the Site Functional Leaders sessions to foster leadership & collaboration, the Inside Ops Learn sessions, and continuing our Dir+ sessions to unite people leaders in Ireland. You consistently make time for people, develop talent, and create a culture that makes Dublin a fantastic place to work.  It’s been a privilege to support you and learn from you, and I’m excited for all that 2026 will bring! Le buiochas.",Action is Eloquence,GM Dublin & SVP Operations,Executive Assistant
"Eva thank you for taking not one but TWO Workhuman Live promos off my plate this past week. This was hugely helpful in clearing my head for time sensitive projects. On top of that, each of the promo messaging was spot on - engaging and clear. As expected.",On a roll,Senior Copywriter,Senior Copywriting Manager
Thank you all for helping out with my tickets and keeping up with client emails while I was away! It's amazing having a great team to lean on and I appreciate each one of you!! You're simply the best!,Out of Office Coverage,Technical Services Specialist II,Technical Services Specialist II
